name,waitTime,currentStatus,date,time,isRide
Star Wars: Rise of the Resistance,125.0,OPERATING,01-04-2026,10:00,True
The Twilight Zone Tower of Terror™,65.0,OPERATING,01-04-2026,10:00,True
Toy Story Mania!,50.0,OPERATING,01-04-2026,10:00,True
Star Tours – The Adventures Continue,35.0,OPERATING,01-04-2026,10:00,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,10:00,True
Millennium Falcon: Smugglers Run,90.0,OPERATING,01-04-2026,10:15,True
Walt Disney Presents,,OPERATING,01-04-2026,10:15,True
Alien Swirling Saucers,45.0,OPERATING,01-04-2026,10:15,True
Slinky Dog Dash,120.0,OPERATING,01-04-2026,10:15,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,10:15,True
Mickey & Minnie's Runaway Railway,60.0,OPERATING,01-04-2026,10:15,True
Star Wars: Rise of the Resistance,95.0,OPERATING,01-04-2026,10:15,True
The Twilight Zone Tower of Terror™,80.0,OPERATING,01-04-2026,10:15,True
Toy Story Mania!,50.0,OPERATING,01-04-2026,10:15,True
Star Tours – The Adventures Continue,35.0,OPERATING,01-04-2026,10:15,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,10:15,True
Millennium Falcon: Smugglers Run,115.0,OPERATING,01-04-2026,10:30,True
Walt Disney Presents,,OPERATING,01-04-2026,10:30,True
Alien Swirling Saucers,45.0,OPERATING,01-04-2026,10:30,True
Slinky Dog Dash,120.0,OPERATING,01-04-2026,10:30,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,10:30,True
Mickey & Minnie's Runaway Railway,65.0,OPERATING,01-04-2026,10:30,True
Star Wars: Rise of the Resistance,95.0,OPERATING,01-04-2026,10:30,True
The Twilight Zone Tower of Terror™,70.0,OPERATING,01-04-2026,10:30,True
Toy Story Mania!,60.0,OPERATING,01-04-2026,10:30,True
Star Tours – The Adventures Continue,35.0,OPERATING,01-04-2026,10:30,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,10:30,True
Millennium Falcon: Smugglers Run,120.0,OPERATING,01-04-2026,10:45,True
Walt Disney Presents,,OPERATING,01-04-2026,10:45,True
Alien Swirling Saucers,50.0,OPERATING,01-04-2026,10:45,True
Slinky Dog Dash,140.0,OPERATING,01-04-2026,10:45,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,10:45,True
Mickey & Minnie's Runaway Railway,65.0,OPERATING,01-04-2026,10:45,True
Star Wars: Rise of the Resistance,95.0,OPERATING,01-04-2026,10:45,True
The Twilight Zone Tower of Terror™,45.0,OPERATING,01-04-2026,10:45,True
Toy Story Mania!,55.0,OPERATING,01-04-2026,10:45,True
Star Tours – The Adventures Continue,35.0,OPERATING,01-04-2026,10:45,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,10:45,True
Millennium Falcon: Smugglers Run,95.0,OPERATING,01-04-2026,11:00,True
Walt Disney Presents,,OPERATING,01-04-2026,11:00,True
Alien Swirling Saucers,50.0,OPERATING,01-04-2026,11:00,True
Slinky Dog Dash,140.0,OPERATING,01-04-2026,11:00,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,11:00,True
Mickey & Minnie's Runaway Railway,75.0,OPERATING,01-04-2026,11:00,True
Star Wars: Rise of the Resistance,95.0,OPERATING,01-04-2026,11:00,True
The Twilight Zone Tower of Terror™,65.0,OPERATING,01-04-2026,11:00,True
Toy Story Mania!,55.0,OPERATING,01-04-2026,11:00,True
Star Tours – The Adventures Continue,35.0,OPERATING,01-04-2026,11:00,True
Rock 'n' Roller Coaster Starring Aerosmith,,CLOSED,01-04-2026,11:00,True
Millennium Falcon: Smugglers Run,70.0,OPERATING,01-04-2026,11:15,True
Walt Disney Presents,,OPERATING,01-04-2026,11:15,True
Alien Swirling Saucers,40.0,OPERATING,01-04-2026,11:15,True
Slinky Dog Dash,140.0,OPERATING,01-04-2026,11:15,True
Vacation Fun - An Original Animated Short with Mickey & Minnie,10.0,OPERATING,01-04-2026,11:15,True
Mickey & Minnie's Runaway Railway,,DOWN,01-04-2026,11:15,True
Star Wars: Rise of the Resistance,80.0,OPERATING,01-04-2026,11:15,True
The Twilight Zone Tower of Terror™,60.0,OPERATING,01-04-2026,11:15,True
Toy Story Mania!,55.0,OPERATING,01-04-2026,11:15,True
Star Tours – The Adventures Continue,35.0,OPERATING,01-04-2026,11:15,True
