name,waitTime,currentStatus,date,time,isRide
Wildlife Express Train,,REFURBISHMENT,04-01-2026,12:45,True
Tree of Life,,OPERATING,04-01-2026,12:45,False
Gorilla Falls Exploration Trail,5,OPERATING,04-01-2026,12:45,True
Avatar Flight of Passage,85,OPERATING,04-01-2026,12:45,True
Kilimanjaro Safaris,60,OPERATING,04-01-2026,12:45,True
Expedition Everest - Legend of the Forbidden Mountain,,DOWN,04-01-2026,12:45,True
Zootopia: Better Zoogether! - NEW!,15,OPERATING,04-01-2026,12:45,True
Wilderness Explorers,,OPERATING,04-01-2026,13:00,False
Animal Care at Conservation Station,,REFURBISHMENT,04-01-2026,13:00,False
Na'vi River Journey,65,OPERATING,04-01-2026,13:00,True
Discovery Island Trails,,OPERATING,04-01-2026,13:00,False
Affection Section,,REFURBISHMENT,04-01-2026,13:00,False
Maharajah Jungle Trek,5,OPERATING,04-01-2026,13:00,True
Kali River Rapids,75,OPERATING,04-01-2026,13:00,True
The Oasis Exhibits,,OPERATING,04-01-2026,13:00,False
Wildlife Express Train,,REFURBISHMENT,04-01-2026,13:00,True
Tree of Life,,OPERATING,04-01-2026,13:00,False
Gorilla Falls Exploration Trail,5,OPERATING,04-01-2026,13:00,True
Avatar Flight of Passage,80,OPERATING,04-01-2026,13:00,True
Kilimanjaro Safaris,70,OPERATING,04-01-2026,13:00,True
Expedition Everest - Legend of the Forbidden Mountain,70,OPERATING,04-01-2026,13:00,True
Zootopia: Better Zoogether! - NEW!,30,OPERATING,04-01-2026,13:00,True
Wilderness Explorers,,OPERATING,04-01-2026,13:15,False
Animal Care at Conservation Station,,REFURBISHMENT,04-01-2026,13:15,False
Na'vi River Journey,65,OPERATING,04-01-2026,13:15,True
Discovery Island Trails,,OPERATING,04-01-2026,13:15,False
Affection Section,,REFURBISHMENT,04-01-2026,13:15,False
Maharajah Jungle Trek,5,OPERATING,04-01-2026,13:15,True
Kali River Rapids,75,OPERATING,04-01-2026,13:15,True
The Oasis Exhibits,,OPERATING,04-01-2026,13:15,False
Wildlife Express Train,,REFURBISHMENT,04-01-2026,13:15,True
Tree of Life,,OPERATING,04-01-2026,13:15,False
Gorilla Falls Exploration Trail,5,OPERATING,04-01-2026,13:15,True
Avatar Flight of Passage,80,OPERATING,04-01-2026,13:15,True
Kilimanjaro Safaris,65,OPERATING,04-01-2026,13:15,True
Expedition Everest - Legend of the Forbidden Mountain,25,OPERATING,04-01-2026,13:15,True
